,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alpha,0.75,0.75,0.375,0.25,0.1875,0.15,0.125,0.10714285714285714,0.09375,0.08333333333333333,0.075,0.06818181818181818,0.0625,0.057692307692307696,0.05357142857142857,0.05,0.046875,0.04411764705882353,0.041666666666666664,0.039473684210526314,0.0375,0.03571428571428571,0.03409090909090909,0.03260869565217391,0.03125,0.03,0.028846153846153848,0.027777777777777776,0.026785714285714284,0.02586206896551724,0.025,0.024193548387096774,0.0234375,0.022727272727272728,0.022058823529411766,0.02142857142857143,0.020833333333333332,0.02027027027027027,0.019736842105263157,0.019230769230769232,0.01875,0.018292682926829267,0.017857142857142856,0.01744186046511628,0.017045454545454544,0.016666666666666666,0.016304347826086956,0.015957446808510637,0.015625,0.015306122448979591,0.015,0.014705882352941176,0.014423076923076924,0.014150943396226415,0.013888888888888888,0.013636363636363636,0.013392857142857142,0.013157894736842105,0.01293103448275862,0.012711864406779662,0.0125,0.012295081967213115,0.012096774193548387,0.011904761904761904,0.01171875,0.011538461538461539,0.011363636363636364,0.011194029850746268,0.011029411764705883,0.010869565217391304,0.010714285714285714,0.01056338028169014,0.010416666666666666,0.010273972602739725,0.010135135135135136,0.01,0.009868421052631578,0.00974025974025974,0.009615384615384616,0.00949367088607595,0.009375,0.009259259259259259,0.009146341463414634,0.009036144578313253,0.008928571428571428,0.008823529411764706,0.00872093023255814,0.008620689655172414,0.008522727272727272,0.008426966292134831,0.008333333333333333,0.008241758241758242,0.008152173913043478,0.008064516129032258,0.007978723404255319,0.007894736842105263,0.0078125,0.007731958762886598,0.007653061224489796
cumulative_success_rate,0.0,50.0,66.66666666666666,75.0,80.0,83.33333333333334,85.71428571428571,87.5,88.88888888888889,90.0,90.9090909090909,91.66666666666666,92.3076923076923,92.85714285714286,93.33333333333333,93.75,94.11764705882352,94.44444444444444,94.73684210526315,95.0,95.23809523809523,95.45454545454545,95.65217391304348,95.83333333333334,92.0,92.3076923076923,92.5925925925926,92.85714285714286,93.10344827586206,93.33333333333333,93.54838709677419,93.75,93.93939393939394,94.11764705882352,94.28571428571428,94.44444444444444,94.5945945945946,94.73684210526315,94.87179487179486,95.0,95.1219512195122,95.23809523809523,95.34883720930233,95.45454545454545,95.55555555555556,95.65217391304348,95.74468085106383,95.83333333333334,95.91836734693877,96.0,96.07843137254902,96.15384615384616,96.22641509433963,96.29629629629629,96.36363636363636,96.42857142857143,96.49122807017544,96.55172413793103,96.61016949152543,96.66666666666667,96.72131147540983,96.7741935483871,95.23809523809523,95.3125,95.38461538461539,95.45454545454545,95.52238805970148,95.58823529411765,95.65217391304348,95.71428571428572,95.77464788732394,95.83333333333334,95.8904109589041,94.5945945945946,94.66666666666667,93.42105263157895,93.5064935064935,93.58974358974359,93.67088607594937,93.75,93.82716049382715,93.90243902439023,93.97590361445783,94.04761904761905,94.11764705882352,94.18604651162791,94.25287356321839,94.31818181818183,94.3820224719101,94.44444444444444,94.5054945054945,94.56521739130434,94.6236559139785,94.68085106382979,94.73684210526315,94.79166666666666,94.84536082474226,93.87755102040816,93.93939393939394
gamma,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
net_reward,12.5,26.5,31.5,29.5,23.5,28.5,25.0,26.0,21.5,21.5,18.5,18.5,22.5,21.0,20.0,29.0,10.0,16.0,28.0,22.0,30.5,21.0,25.5,24.0,21.5,17.0,19.0,17.0,22.0,22.5,20.5,19.0,18.0,28.0,20.0,21.0,23.5,29.0,15.5,22.0,24.0,25.5,23.5,28.5,39.5,23.0,20.0,31.0,25.5,25.0,21.0,21.0,19.5,19.5,25.5,22.0,21.5,26.0,18.0,24.0,23.5,23.0,25.0,16.5,29.0,21.5,17.0,21.0,19.0,18.0,25.5,20.0,15.5,27.0,24.0,36.0,23.5,37.0,16.0,25.5,20.0,19.0,33.0,29.0,18.0,47.5,23.0,16.0,29.0,17.5,22.5,19.0,53.0,25.5,25.5,19.5,23.5,18.5,23.0
penalty_count,15,5,4,14,1,2,2,0,4,4,5,2,3,1,0,2,3,2,6,2,3,1,1,3,9,7,1,2,2,2,2,1,0,3,0,2,6,2,6,6,3,1,1,4,4,2,0,8,1,4,1,1,1,4,6,0,1,3,0,7,1,1,12,2,6,1,1,2,1,3,4,2,1,6,3,10,1,2,0,1,3,1,8,2,4,8,2,2,2,8,2,1,6,1,5,3,3,6,1
success,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True
time_taken,34,18,20,30,12,21,16,15,13,22,12,13,16,8,6,20,6,13,23,16,17,11,13,15,34,22,7,10,16,15,13,10,6,18,13,17,21,21,19,20,16,16,17,27,26,13,9,22,14,18,11,9,12,16,22,11,7,19,4,25,14,10,40,6,20,8,13,8,10,9,21,13,5,28,13,45,10,22,3,17,16,10,38,16,16,40,12,10,18,20,9,7,35,9,21,13,14,22,11
