,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alpha,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
cumulative_success_rate,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.33333333333333,93.75,94.11764705882352,94.44444444444444,94.73684210526315,95.0,95.23809523809523,95.45454545454545,91.30434782608695,91.66666666666666,92.0,88.46153846153845,88.88888888888889,85.71428571428571,86.20689655172413,86.66666666666667,87.09677419354838,87.5,87.87878787878788,88.23529411764706,88.57142857142857,88.88888888888889,89.1891891891892,86.8421052631579,87.17948717948718,85.0,85.36585365853658,85.71428571428571,86.04651162790698,86.36363636363636,86.66666666666667,86.95652173913044,87.2340425531915,87.5,87.75510204081633,86.0,86.27450980392157,86.53846153846155,86.79245283018868,87.03703703703704,87.27272727272727,87.5,87.71929824561403,87.93103448275862,88.13559322033898,88.33333333333333,88.52459016393442,88.70967741935483,88.88888888888889,89.0625,89.23076923076924,89.39393939393939,89.55223880597015,89.70588235294117,89.85507246376811,88.57142857142857,88.73239436619718,88.88888888888889,89.04109589041096,89.1891891891892,89.33333333333333,89.47368421052632,89.6103896103896,89.74358974358975,89.87341772151899,90.0,90.12345679012346,90.2439024390244,90.36144578313254,90.47619047619048,90.58823529411765,90.69767441860465,90.80459770114942,90.9090909090909,91.01123595505618,91.11111111111111,91.20879120879121,91.30434782608695,91.39784946236558,90.42553191489363,90.52631578947368,90.625,90.72164948453609,90.81632653061224,89.8989898989899
gamma,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
net_reward,16.5,34.0,23.0,26.0,17.5,20.5,32.0,17.0,29.0,24.5,17.0,33.0,19.5,20.5,18.5,24.5,30.0,23.0,20.0,18.0,20.5,19.5,28.0,38.0,46.0,46.5,26.0,15.5,16.0,25.5,25.5,16.5,35.0,28.0,25.0,20.5,18.5,28.0,44.5,29.5,24.0,16.5,23.0,39.5,23.5,18.0,18.0,26.5,20.0,23.5,29.0,23.5,31.5,29.0,40.5,22.5,24.5,29.0,22.0,20.0,18.0,18.0,11.5,24.0,25.5,13.5,23.5,22.5,13.5,71.0,16.0,35.5,25.0,18.0,22.0,25.5,23.5,37.5,22.0,15.5,27.0,21.0,16.0,15.0,22.0,21.5,20.0,30.5,11.0,19.5,19.5,21.5,21.5,19.0,25.0,26.0,18.0,29.0,27.0
penalty_count,5,11,1,13,1,4,11,2,2,2,2,4,5,3,11,10,3,8,0,0,2,3,7,7,11,7,7,8,0,5,1,2,6,3,1,2,2,6,6,8,0,2,4,11,5,0,0,8,5,8,2,4,5,9,5,2,2,2,0,0,0,0,0,3,3,1,3,3,1,33,2,1,2,0,4,6,1,8,2,0,1,1,2,5,0,1,0,9,7,1,1,3,1,7,5,0,0,13,8
success,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
time_taken,11,35,10,31,5,16,29,6,14,15,13,25,21,15,32,26,16,21,16,5,12,17,28,29,36,32,18,25,3,17,17,7,36,15,15,9,11,31,27,28,10,9,19,37,18,4,4,25,16,27,13,15,25,30,37,12,11,16,8,7,6,8,2,13,16,7,12,12,3,110,13,19,16,5,27,22,12,30,16,7,22,12,7,10,11,9,7,29,14,7,18,21,10,26,17,12,4,37,27
