,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alpha,0.75,0.75,0.375,0.25,0.1875,0.15,0.125,0.10714285714285714,0.09375,0.08333333333333333,0.075,0.06818181818181818,0.0625,0.057692307692307696,0.05357142857142857,0.05,0.046875,0.04411764705882353,0.041666666666666664,0.039473684210526314,0.0375,0.03571428571428571,0.03409090909090909,0.03260869565217391,0.03125,0.03,0.028846153846153848,0.027777777777777776,0.026785714285714284,0.02586206896551724,0.025,0.024193548387096774,0.0234375,0.022727272727272728,0.022058823529411766,0.02142857142857143,0.020833333333333332,0.02027027027027027,0.019736842105263157,0.019230769230769232,0.01875,0.018292682926829267,0.017857142857142856,0.01744186046511628,0.017045454545454544,0.016666666666666666,0.016304347826086956,0.015957446808510637,0.015625,0.015306122448979591,0.015,0.014705882352941176,0.014423076923076924,0.014150943396226415,0.013888888888888888,0.013636363636363636,0.013392857142857142,0.013157894736842105,0.01293103448275862,0.012711864406779662,0.0125,0.012295081967213115,0.012096774193548387,0.011904761904761904,0.01171875,0.011538461538461539,0.011363636363636364,0.011194029850746268,0.011029411764705883,0.010869565217391304,0.010714285714285714,0.01056338028169014,0.010416666666666666,0.010273972602739725,0.010135135135135136,0.01,0.009868421052631578,0.00974025974025974,0.009615384615384616,0.00949367088607595,0.009375,0.009259259259259259,0.009146341463414634,0.009036144578313253,0.008928571428571428,0.008823529411764706,0.00872093023255814,0.008620689655172414,0.008522727272727272,0.008426966292134831,0.008333333333333333,0.008241758241758242,0.008152173913043478,0.008064516129032258,0.007978723404255319,0.007894736842105263,0.0078125,0.007731958762886598,0.007653061224489796
cumulative_success_rate,0.0,0.0,0.0,25.0,20.0,16.666666666666664,14.285714285714285,12.5,22.22222222222222,20.0,27.27272727272727,25.0,23.076923076923077,21.428571428571427,20.0,18.75,17.647058823529413,16.666666666666664,15.789473684210526,15.0,14.285714285714285,18.181818181818183,17.391304347826086,16.666666666666664,16.0,15.384615384615385,14.814814814814813,14.285714285714285,17.24137931034483,16.666666666666664,16.129032258064516,15.625,15.151515151515152,17.647058823529413,20.0,22.22222222222222,21.62162162162162,23.684210526315788,23.076923076923077,22.5,21.951219512195124,21.428571428571427,20.930232558139537,22.727272727272727,24.444444444444443,23.91304347826087,23.404255319148938,25.0,24.489795918367346,26.0,25.49019607843137,25.0,24.528301886792452,24.074074074074073,23.636363636363637,23.214285714285715,22.807017543859647,22.413793103448278,22.033898305084744,23.333333333333332,22.950819672131146,22.58064516129032,23.809523809523807,25.0,24.615384615384617,24.242424242424242,23.88059701492537,23.52941176470588,24.637681159420293,25.71428571428571,25.352112676056336,26.38888888888889,26.027397260273972,27.027027027027028,28.000000000000004,27.631578947368425,28.57142857142857,28.205128205128204,27.848101265822784,27.500000000000004,27.160493827160494,28.04878048780488,28.915662650602407,28.57142857142857,28.235294117647058,27.906976744186046,27.586206896551722,27.27272727272727,26.96629213483146,26.666666666666668,27.472527472527474,27.173913043478258,26.881720430107524,26.595744680851062,26.31578947368421,26.041666666666668,25.773195876288657,25.510204081632654,25.252525252525253
gamma,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
net_reward,-0.5,2.5,-9.0,11.5,-4.0,9.0,-38.0,-34.0,0.5,9.5,12.0,-3.0,-19.5,0.0,-2.5,14.0,6.0,-14.0,5.0,5.5,24.5,9.0,3.0,0.0,-13.5,4.5,-2.0,-7.5,7.5,-10.5,-15.5,-12.5,-6.0,5.5,15.5,8.0,-17.5,13.5,-0.5,-17.5,8.5,-8.5,-0.5,8.0,12.5,-26.0,-9.0,6.5,-9.0,17.5,-18.0,-37.5,6.0,-6.5,-13.0,-11.0,0.0,8.0,-8.0,5.5,1.5,1.5,16.0,12.5,-1.0,-3.5,8.5,-8.5,9.0,4.5,-1.5,12.0,-17.0,20.0,7.5,15.0,16.5,3.0,7.0,-26.5,-3.5,18.0,14.5,-26.5,2.5,-8.5,13.0,-3.5,-9.5,-20.0,17.0,-8.0,3.5,-19.0,7.0,14.0,1.5,-1.5,-0.5
penalty_count,33,16,33,8,72,37,72,83,16,21,3,33,84,35,76,58,86,69,66,77,36,13,48,31,59,52,64,46,6,30,75,88,24,8,6,17,44,3,23,38,47,32,70,12,11,87,67,17,77,6,76,88,49,82,58,78,28,28,45,18,28,25,19,15,76,67,83,22,4,15,56,12,36,10,10,58,7,13,18,87,81,0,2,87,15,60,16,65,75,80,9,40,21,76,73,67,70,49,48
success,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
time_taken,60,35,54,15,126,76,118,121,21,42,5,54,136,59,134,114,146,121,121,131,83,22,89,55,93,114,126,73,10,51,126,159,36,9,14,29,70,8,43,57,92,56,126,18,22,146,114,24,137,15,136,126,94,136,91,130,54,51,73,31,59,42,30,26,136,121,151,34,5,20,98,25,55,26,16,121,19,34,38,136,146,5,7,129,23,103,37,121,141,136,26,63,41,121,131,126,121,92,80
