,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alpha,0.75,0.75,0.375,0.25,0.1875,0.15,0.125,0.10714285714285714,0.09375,0.08333333333333333,0.075,0.06818181818181818,0.0625,0.057692307692307696,0.05357142857142857,0.05,0.046875,0.04411764705882353,0.041666666666666664,0.039473684210526314,0.0375,0.03571428571428571,0.03409090909090909,0.03260869565217391,0.03125,0.03,0.028846153846153848,0.027777777777777776,0.026785714285714284,0.02586206896551724,0.025,0.024193548387096774,0.0234375,0.022727272727272728,0.022058823529411766,0.02142857142857143,0.020833333333333332,0.02027027027027027,0.019736842105263157,0.019230769230769232,0.01875,0.018292682926829267,0.017857142857142856,0.01744186046511628,0.017045454545454544,0.016666666666666666,0.016304347826086956,0.015957446808510637,0.015625,0.015306122448979591,0.015,0.014705882352941176,0.014423076923076924,0.014150943396226415,0.013888888888888888,0.013636363636363636,0.013392857142857142,0.013157894736842105,0.01293103448275862,0.012711864406779662,0.0125,0.012295081967213115,0.012096774193548387,0.011904761904761904,0.01171875,0.011538461538461539,0.011363636363636364,0.011194029850746268,0.011029411764705883,0.010869565217391304,0.010714285714285714,0.01056338028169014,0.010416666666666666,0.010273972602739725,0.010135135135135136,0.01,0.009868421052631578,0.00974025974025974,0.009615384615384616,0.00949367088607595,0.009375,0.009259259259259259,0.009146341463414634,0.009036144578313253,0.008928571428571428,0.008823529411764706,0.00872093023255814,0.008620689655172414,0.008522727272727272,0.008426966292134831,0.008333333333333333,0.008241758241758242,0.008152173913043478,0.008064516129032258,0.007978723404255319,0.007894736842105263,0.0078125,0.007731958762886598,0.007653061224489796
cumulative_success_rate,0.0,50.0,66.66666666666666,75.0,80.0,66.66666666666666,71.42857142857143,75.0,77.77777777777779,80.0,81.81818181818183,83.33333333333334,84.61538461538461,78.57142857142857,80.0,81.25,82.35294117647058,77.77777777777779,78.94736842105263,80.0,80.95238095238095,81.81818181818183,82.6086956521739,83.33333333333334,80.0,80.76923076923077,81.48148148148148,82.14285714285714,82.75862068965517,83.33333333333334,80.64516129032258,81.25,81.81818181818183,82.35294117647058,82.85714285714286,80.55555555555556,81.08108108108108,78.94736842105263,79.48717948717949,77.5,78.04878048780488,78.57142857142857,79.06976744186046,79.54545454545455,80.0,80.43478260869566,80.85106382978722,81.25,81.63265306122449,82.0,82.35294117647058,82.6923076923077,83.01886792452831,83.33333333333334,83.63636363636363,83.92857142857143,84.21052631578947,84.48275862068965,83.05084745762711,83.33333333333334,83.60655737704919,83.87096774193549,84.12698412698413,84.375,84.61538461538461,84.84848484848484,85.07462686567165,85.29411764705883,85.5072463768116,85.71428571428571,85.91549295774648,84.72222222222221,84.93150684931507,83.78378378378379,84.0,84.21052631578947,84.4155844155844,84.61538461538461,83.54430379746836,83.75,83.9506172839506,84.14634146341463,84.33734939759037,84.52380952380952,84.70588235294117,84.88372093023256,85.0574712643678,85.22727272727273,85.39325842696628,84.44444444444444,84.61538461538461,84.78260869565217,84.94623655913979,85.1063829787234,85.26315789473684,85.41666666666666,85.56701030927834,85.71428571428571,85.85858585858585
gamma,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
net_reward,37.5,39.5,33.5,45.5,24.0,48.0,8.5,26.0,23.0,19.0,21.5,33.0,37.0,44.5,23.0,23.5,35.5,51.5,41.0,22.0,36.0,20.0,15.5,26.0,95.5,41.0,18.0,39.5,20.5,31.5,48.0,23.5,39.0,44.5,32.0,28.5,23.0,36.5,17.0,20.5,24.0,31.0,21.5,33.5,36.0,25.5,56.0,21.5,22.5,22.0,34.0,27.0,15.5,18.0,28.5,19.5,22.0,33.5,21.5,21.5,35.5,27.5,15.5,26.5,37.5,37.5,13.5,19.0,31.5,30.5,26.0,27.0,32.5,47.5,25.5,15.5,16.0,35.5,38.0,25.0,25.5,20.0,19.0,15.0,16.0,36.0,15.5,27.0,32.5,65.5,35.5,23.0,28.0,20.0,21.0,20.0,23.0,28.0,33.0
penalty_count,24,7,9,5,12,21,1,4,5,5,1,2,5,18,2,1,5,20,6,12,8,3,0,7,60,8,0,14,3,5,14,5,7,9,4,10,2,11,3,8,3,6,4,4,8,5,14,4,2,0,4,12,5,0,3,1,0,8,9,5,5,5,3,6,8,8,5,5,12,3,4,8,3,12,13,1,3,5,12,2,1,8,4,1,0,4,1,2,3,29,4,5,6,0,2,4,9,4,6
success,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
time_taken,61,28,24,25,25,59,2,13,16,13,7,15,23,47,10,10,19,52,24,22,23,10,4,17,131,26,4,37,9,17,43,14,27,32,16,30,9,33,12,23,11,19,11,19,24,16,43,11,10,6,21,26,9,4,14,8,6,24,24,12,20,16,8,16,24,26,11,11,29,15,15,25,15,43,30,5,7,19,34,11,9,16,12,4,3,19,5,11,16,72,18,13,17,5,11,10,20,14,23
