,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alpha,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
cumulative_success_rate,100.0,50.0,33.33333333333333,50.0,60.0,66.66666666666666,71.42857142857143,75.0,77.77777777777779,80.0,72.72727272727273,75.0,76.92307692307693,78.57142857142857,80.0,81.25,82.35294117647058,83.33333333333334,84.21052631578947,85.0,85.71428571428571,81.81818181818183,82.6086956521739,83.33333333333334,84.0,84.61538461538461,85.18518518518519,85.71428571428571,86.20689655172413,86.66666666666667,87.09677419354838,87.5,87.87878787878788,88.23529411764706,88.57142857142857,88.88888888888889,89.1891891891892,89.47368421052632,89.74358974358975,90.0,90.2439024390244,90.47619047619048,90.69767441860465,90.9090909090909,91.11111111111111,91.30434782608695,91.48936170212765,91.66666666666666,91.83673469387756,92.0,92.15686274509804,92.3076923076923,92.45283018867924,92.5925925925926,92.72727272727272,92.85714285714286,92.98245614035088,93.10344827586206,93.22033898305084,93.33333333333333,93.44262295081968,93.54838709677419,93.65079365079364,93.75,93.84615384615384,93.93939393939394,94.02985074626866,94.11764705882352,94.20289855072464,94.28571428571428,94.36619718309859,94.44444444444444,94.52054794520548,94.5945945945946,94.66666666666667,94.73684210526315,94.8051948051948,94.87179487179486,94.9367088607595,95.0,95.06172839506173,95.1219512195122,95.18072289156626,95.23809523809523,95.29411764705881,95.34883720930233,95.40229885057471,95.45454545454545,95.50561797752809,95.55555555555556,95.6043956043956,95.65217391304348,95.6989247311828,95.74468085106383,95.78947368421052,95.83333333333334,95.87628865979381,95.91836734693877,95.95959595959596
gamma,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
net_reward,17.5,30.5,23.5,20.0,35.5,19.0,25.5,19.5,28.5,22.5,27.0,25.5,25.5,15.0,19.0,19.5,23.5,18.0,19.5,21.5,35.5,25.0,17.5,17.0,20.5,23.5,17.0,12.5,22.0,21.5,28.0,26.0,17.5,18.0,15.5,20.0,23.0,29.5,13.5,24.0,13.5,22.0,18.0,23.5,25.5,29.5,22.0,20.0,24.0,18.0,30.0,25.0,19.5,27.0,21.5,29.0,20.0,27.0,19.5,26.0,25.5,20.0,23.0,25.0,20.0,23.5,18.0,20.0,27.5,30.0,18.0,22.0,21.5,27.5,28.0,46.0,18.0,24.0,22.0,29.5,27.5,28.0,39.5,28.5,29.5,19.5,22.0,25.5,27.0,28.0,27.5,23.5,29.5,24.0,24.0,18.0,21.5,18.0,22.0
penalty_count,17,8,5,0,5,4,3,7,6,2,2,1,1,4,1,3,1,0,1,1,4,5,1,2,3,1,1,2,0,1,2,0,1,2,1,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,2,1,1,0,2,1,0,3,0,2,1,0,1,0,0,1,0,0,0,1,1,0,4,0,0,0,1,1,0,1,3,1,1,0,1,2,0,1,1,1,0,0,0,1,0,0
success,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
time_taken,31,35,22,5,19,13,14,16,21,15,22,14,11,13,11,16,16,8,13,8,22,25,5,6,15,13,13,5,19,11,19,21,14,11,17,11,12,22,8,11,7,12,4,11,16,17,12,8,13,11,21,14,11,16,10,17,9,11,9,8,19,5,12,17,13,13,10,13,13,25,4,10,21,13,14,41,10,12,6,21,13,14,26,17,13,8,9,9,25,13,16,17,13,13,16,8,14,11,7
