,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alpha,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
cumulative_success_rate,0.0,50.0,66.66666666666666,75.0,80.0,83.33333333333334,85.71428571428571,87.5,88.88888888888889,90.0,90.9090909090909,91.66666666666666,92.3076923076923,85.71428571428571,86.66666666666667,87.5,88.23529411764706,88.88888888888889,89.47368421052632,90.0,90.47619047619048,90.9090909090909,91.30434782608695,91.66666666666666,92.0,92.3076923076923,92.5925925925926,92.85714285714286,93.10344827586206,93.33333333333333,93.54838709677419,93.75,93.93939393939394,94.11764705882352,94.28571428571428,94.44444444444444,94.5945945945946,94.73684210526315,94.87179487179486,95.0,95.1219512195122,95.23809523809523,93.02325581395348,93.18181818181817,93.33333333333333,93.47826086956522,93.61702127659575,93.75,93.87755102040816,94.0,94.11764705882352,94.23076923076923,94.33962264150944,94.44444444444444,94.54545454545455,92.85714285714286,92.98245614035088,93.10344827586206,93.22033898305084,93.33333333333333,93.44262295081968,93.54838709677419,93.65079365079364,93.75,93.84615384615384,93.93939393939394,94.02985074626866,94.11764705882352,94.20289855072464,94.28571428571428,94.36619718309859,94.44444444444444,94.52054794520548,94.5945945945946,94.66666666666667,94.73684210526315,94.8051948051948,94.87179487179486,94.9367088607595,95.0,95.06172839506173,95.1219512195122,95.18072289156626,95.23809523809523,95.29411764705881,95.34883720930233,95.40229885057471,95.45454545454545,95.50561797752809,95.55555555555556,95.6043956043956,95.65217391304348,95.6989247311828,95.74468085106383,95.78947368421052,95.83333333333334,95.87628865979381,95.91836734693877,95.95959595959596
gamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
net_reward,0.5,17.5,18.0,23.5,28.0,14.0,21.5,16.5,18.5,25.5,12.5,21.0,28.0,20.5,23.0,23.5,18.0,25.5,37.5,20.0,18.5,11.5,21.5,31.0,19.0,20.0,25.0,24.5,22.0,19.0,23.5,24.0,22.0,26.5,16.5,27.5,15.5,24.5,19.0,24.0,20.0,25.5,23.0,18.0,25.5,36.5,20.5,25.5,16.5,21.0,18.5,20.0,25.0,18.5,20.5,20.0,41.5,20.5,23.5,20.5,17.0,19.0,17.5,19.0,18.0,22.5,18.0,15.5,26.5,18.0,26.0,20.0,29.0,21.5,39.5,18.0,41.5,29.0,22.0,17.0,26.5,20.5,18.5,25.0,29.5,18.0,23.5,17.5,23.0,22.0,21.5,11.5,22.5,20.0,17.0,17.0,14.5,28.5,24.5
penalty_count,18,1,0,6,5,3,1,3,2,1,2,2,5,8,3,1,0,3,4,0,2,1,1,2,2,0,2,2,3,1,4,0,0,5,2,3,1,2,5,2,0,1,4,0,1,3,4,1,2,2,4,4,4,3,3,6,9,4,1,2,3,1,1,1,0,2,0,1,2,0,3,0,2,3,9,2,5,1,0,1,4,2,2,4,1,0,1,3,2,0,3,3,2,3,1,1,2,2,4
success,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
time_taken,37,6,4,18,29,19,16,11,13,14,6,13,26,36,17,16,11,19,23,7,16,3,17,18,10,8,10,16,14,11,16,11,21,34,8,14,4,13,21,22,8,19,31,6,13,36,17,16,11,9,13,21,26,13,22,23,40,16,10,16,21,10,11,11,4,19,6,7,14,13,18,7,16,25,42,9,27,22,10,7,21,13,10,26,15,4,12,16,13,13,13,6,17,13,8,12,11,16,20
