,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alpha,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
cumulative_success_rate,0.0,0.0,33.33333333333333,50.0,60.0,66.66666666666666,71.42857142857143,75.0,77.77777777777779,80.0,81.81818181818183,83.33333333333334,84.61538461538461,85.71428571428571,86.66666666666667,87.5,82.35294117647058,83.33333333333334,84.21052631578947,85.0,85.71428571428571,86.36363636363636,86.95652173913044,87.5,88.0,88.46153846153845,88.88888888888889,89.28571428571429,89.65517241379311,90.0,90.32258064516128,87.5,87.87878787878788,88.23529411764706,88.57142857142857,88.88888888888889,89.1891891891892,89.47368421052632,89.74358974358975,87.5,87.8048780487805,88.09523809523809,88.37209302325581,88.63636363636364,88.88888888888889,89.13043478260869,89.36170212765957,89.58333333333334,89.79591836734694,90.0,90.19607843137256,90.38461538461539,90.56603773584906,90.74074074074075,90.9090909090909,89.28571428571429,87.71929824561403,87.93103448275862,86.4406779661017,86.66666666666667,86.88524590163934,87.09677419354838,87.3015873015873,85.9375,86.15384615384616,86.36363636363636,86.56716417910447,86.76470588235294,86.95652173913044,87.14285714285714,87.32394366197182,87.5,87.67123287671232,87.83783783783784,88.0,88.1578947368421,88.31168831168831,88.46153846153845,88.60759493670885,88.75,88.88888888888889,89.02439024390245,89.1566265060241,89.28571428571429,89.41176470588236,88.37209302325581,88.50574712643679,88.63636363636364,88.76404494382022,88.88888888888889,89.01098901098901,89.13043478260869,89.24731182795699,89.36170212765957,89.47368421052632,89.58333333333334,89.69072164948454,89.79591836734694,89.8989898989899
gamma,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
net_reward,47.5,26.0,18.0,11.0,23.0,20.0,37.5,19.0,27.0,22.0,21.5,24.5,29.0,20.0,22.0,23.5,28.5,18.0,13.5,24.0,17.0,35.0,29.5,20.5,27.5,32.5,19.5,34.0,24.0,18.0,31.5,34.5,23.0,18.5,21.0,17.0,28.0,24.0,31.5,7.0,32.0,22.0,23.5,18.5,25.5,36.5,20.0,24.0,20.0,26.0,17.5,18.0,39.5,18.0,13.5,34.0,35.5,25.5,18.0,19.0,25.0,19.0,22.5,18.0,33.0,21.5,24.0,26.5,26.5,31.5,23.0,18.0,21.5,33.0,20.0,24.5,25.0,17.5,16.0,12.5,18.0,37.0,16.0,17.0,45.0,27.0,23.0,31.0,26.5,24.0,17.5,35.0,22.0,17.5,22.0,26.5,29.0,28.0,17.5
penalty_count,28,8,0,1,10,2,6,2,2,7,3,2,4,4,6,1,8,0,1,4,1,7,3,3,4,3,1,8,0,0,4,11,1,2,1,2,3,0,4,8,3,0,5,3,3,8,3,0,0,5,7,0,4,2,1,11,8,3,8,1,4,1,2,8,7,3,6,11,4,1,5,0,4,4,0,4,2,0,2,2,0,2,3,1,9,5,5,2,6,2,1,5,0,3,0,2,2,3,4
success,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
time_taken,79,26,4,4,31,10,30,11,19,29,14,18,22,16,19,10,31,6,3,15,11,29,17,10,20,27,6,32,16,7,21,53,17,12,11,6,23,11,21,25,21,9,19,13,20,41,14,11,7,28,17,7,34,11,6,48,30,14,36,13,19,12,21,30,27,14,19,36,23,16,18,7,12,38,7,13,13,11,11,9,5,18,14,7,40,29,15,13,25,16,11,30,9,16,11,12,23,16,17
