,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alpha,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
cumulative_success_rate,0.0,50.0,33.33333333333333,50.0,60.0,66.66666666666666,71.42857142857143,75.0,77.77777777777779,70.0,63.63636363636363,58.333333333333336,61.53846153846154,64.28571428571429,66.66666666666666,68.75,70.58823529411765,72.22222222222221,73.68421052631578,75.0,71.42857142857143,72.72727272727273,73.91304347826086,75.0,76.0,76.92307692307693,74.07407407407408,75.0,75.86206896551724,76.66666666666667,77.41935483870968,78.125,75.75757575757575,73.52941176470588,74.28571428571429,72.22222222222221,70.27027027027027,71.05263157894737,71.7948717948718,72.5,70.73170731707317,69.04761904761905,69.76744186046511,68.18181818181817,68.88888888888889,67.3913043478261,68.08510638297872,68.75,69.38775510204081,68.0,66.66666666666666,67.3076923076923,67.9245283018868,66.66666666666666,67.27272727272727,67.85714285714286,68.42105263157895,67.24137931034483,67.79661016949152,68.33333333333333,68.85245901639344,67.74193548387096,66.66666666666666,67.1875,67.6923076923077,68.18181818181817,68.65671641791045,69.11764705882352,69.56521739130434,68.57142857142857,69.01408450704226,68.05555555555556,68.4931506849315,68.91891891891892,68.0,68.42105263157895,68.83116883116884,69.23076923076923,69.62025316455697,70.0,70.37037037037037,69.51219512195121,69.87951807228916,69.04761904761905,68.23529411764706,67.44186046511628,67.81609195402298,68.18181818181817,68.53932584269663,68.88888888888889,68.13186813186813,67.3913043478261,67.74193548387096,68.08510638297872,68.42105263157895,68.75,69.0721649484536,69.38775510204081,69.6969696969697
gamma,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
net_reward,47.0,32.5,18.5,40.5,30.0,21.0,15.0,17.0,19.5,28.0,44.5,21.0,27.5,37.0,47.0,23.5,30.0,18.5,31.0,40.5,67.0,9.0,23.0,29.5,43.0,22.0,30.5,13.5,22.0,13.0,19.5,18.0,40.0,20.5,23.5,20.5,50.5,23.0,40.0,43.5,78.0,35.5,28.0,43.0,17.0,39.5,22.5,32.0,39.5,35.5,23.0,39.0,22.5,23.5,21.5,18.0,28.0,12.0,16.5,18.0,26.5,34.0,37.5,41.5,33.5,30.0,24.0,28.5,33.5,63.0,31.5,93.0,20.0,27.0,29.0,50.0,24.0,41.0,33.5,33.5,25.5,39.0,14.5,16.5,53.0,50.0,21.0,20.0,35.0,31.5,43.0,32.5,15.5,25.0,37.0,25.0,20.0,38.5,33.0
penalty_count,17,14,5,3,3,2,2,4,4,7,10,18,4,2,12,5,7,3,6,6,40,1,2,10,5,6,8,1,7,2,5,0,14,26,4,13,17,5,11,15,37,16,7,12,5,19,2,6,11,14,13,5,3,6,1,4,4,9,2,0,5,23,20,17,1,4,4,3,5,58,4,50,0,5,9,11,3,9,5,16,7,20,5,15,20,24,2,0,2,9,26,20,1,5,13,10,0,6,2
success,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
time_taken,51,33,23,21,14,8,6,13,14,25,40,43,15,18,35,14,20,9,20,27,101,2,12,27,26,15,32,3,17,4,17,4,43,49,14,31,50,14,32,36,97,40,19,39,12,54,11,24,29,38,34,22,11,45,10,14,24,33,6,7,20,54,50,40,17,16,12,14,18,121,17,125,5,15,29,35,11,29,18,35,17,49,11,33,55,64,8,5,17,26,66,47,4,17,33,23,5,22,14
