,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alpha,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
cumulative_success_rate,0.0,50.0,33.33333333333333,50.0,60.0,66.66666666666666,71.42857142857143,75.0,77.77777777777779,80.0,81.81818181818183,83.33333333333334,76.92307692307693,78.57142857142857,80.0,81.25,82.35294117647058,83.33333333333334,84.21052631578947,85.0,85.71428571428571,86.36363636363636,86.95652173913044,87.5,88.0,88.46153846153845,88.88888888888889,89.28571428571429,89.65517241379311,90.0,87.09677419354838,87.5,87.87878787878788,88.23529411764706,88.57142857142857,88.88888888888889,89.1891891891892,89.47368421052632,89.74358974358975,90.0,90.2439024390244,90.47619047619048,90.69767441860465,90.9090909090909,91.11111111111111,91.30434782608695,91.48936170212765,91.66666666666666,91.83673469387756,92.0,90.19607843137256,90.38461538461539,90.56603773584906,88.88888888888889,89.0909090909091,89.28571428571429,89.47368421052632,87.93103448275862,88.13559322033898,88.33333333333333,88.52459016393442,88.70967741935483,88.88888888888889,87.5,87.6923076923077,87.87878787878788,88.05970149253731,88.23529411764706,88.40579710144928,88.57142857142857,87.32394366197182,87.5,87.67123287671232,86.48648648648648,85.33333333333334,85.52631578947368,85.71428571428571,85.8974358974359,86.07594936708861,86.25,86.41975308641975,86.58536585365853,86.74698795180723,86.90476190476191,87.05882352941177,87.20930232558139,87.35632183908046,87.5,87.64044943820225,87.77777777777777,87.91208791208791,88.04347826086956,88.17204301075269,88.29787234042553,88.42105263157895,88.54166666666666,88.65979381443299,87.75510204081633,87.87878787878788
gamma,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
net_reward,25.5,22.5,31.0,15.5,12.0,30.5,22.0,22.5,26.0,24.0,26.5,18.0,29.0,24.0,15.5,32.0,24.5,24.5,23.5,19.5,18.0,28.0,43.0,24.0,22.5,24.5,23.5,28.0,32.0,18.0,20.5,18.5,18.0,16.0,21.5,19.5,33.0,17.0,21.0,28.5,27.5,23.0,19.5,16.5,15.5,22.5,27.0,31.5,14.5,32.0,36.0,16.5,21.5,42.0,19.5,22.0,26.5,18.5,33.0,20.5,24.5,21.0,44.0,92.0,23.0,15.0,25.5,24.0,17.0,24.0,29.5,35.0,25.0,38.5,54.5,27.0,27.0,28.5,38.0,16.0,21.5,23.0,18.0,18.0,30.0,19.5,19.0,22.5,24.0,22.5,25.5,36.0,16.5,25.0,28.0,22.5,19.5,30.0,28.0
penalty_count,18,2,13,1,7,4,0,4,0,0,4,0,9,3,3,4,6,2,1,1,0,4,5,3,3,8,5,6,4,0,4,2,0,5,5,1,6,4,6,2,1,1,1,2,1,3,4,12,2,6,25,2,1,14,1,0,5,9,2,12,6,5,9,49,1,3,1,0,2,5,3,2,9,10,18,1,4,5,12,3,11,1,0,0,3,3,2,3,0,3,4,4,5,2,4,3,1,14,3
success,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
time_taken,43,14,44,5,16,21,11,17,14,12,22,7,52,17,12,21,18,12,10,15,4,16,23,12,11,19,14,21,23,4,29,19,12,18,19,7,31,18,22,25,16,14,11,11,8,17,17,34,5,29,61,9,7,44,6,8,23,28,14,26,17,13,30,132,11,11,16,7,8,21,32,22,27,35,87,18,17,34,38,8,42,23,6,9,15,13,10,12,7,11,17,19,10,10,14,10,7,34,14
