,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
alpha,0.75,0.75,0.375,0.25,0.1875,0.15,0.125,0.10714285714285714,0.09375,0.08333333333333333,0.075,0.06818181818181818,0.0625,0.057692307692307696,0.05357142857142857,0.05,0.046875,0.04411764705882353,0.041666666666666664,0.039473684210526314,0.0375,0.03571428571428571,0.03409090909090909,0.03260869565217391,0.03125,0.03,0.028846153846153848,0.027777777777777776,0.026785714285714284,0.02586206896551724,0.025,0.024193548387096774,0.0234375,0.022727272727272728,0.022058823529411766,0.02142857142857143,0.020833333333333332,0.02027027027027027,0.019736842105263157,0.019230769230769232,0.01875,0.018292682926829267,0.017857142857142856,0.01744186046511628,0.017045454545454544,0.016666666666666666,0.016304347826086956,0.015957446808510637,0.015625,0.015306122448979591,0.015,0.014705882352941176,0.014423076923076924,0.014150943396226415,0.013888888888888888,0.013636363636363636,0.013392857142857142,0.013157894736842105,0.01293103448275862,0.012711864406779662,0.0125,0.012295081967213115,0.012096774193548387,0.011904761904761904,0.01171875,0.011538461538461539,0.011363636363636364,0.011194029850746268,0.011029411764705883,0.010869565217391304,0.010714285714285714,0.01056338028169014,0.010416666666666666,0.010273972602739725,0.010135135135135136,0.01,0.009868421052631578,0.00974025974025974,0.009615384615384616,0.00949367088607595,0.009375,0.009259259259259259,0.009146341463414634,0.009036144578313253,0.008928571428571428,0.008823529411764706,0.00872093023255814,0.008620689655172414,0.008522727272727272,0.008426966292134831,0.008333333333333333,0.008241758241758242,0.008152173913043478,0.008064516129032258,0.007978723404255319,0.007894736842105263,0.0078125,0.007731958762886598,0.007653061224489796
cumulative_success_rate,0.0,50.0,66.66666666666666,75.0,60.0,50.0,57.14285714285714,62.5,66.66666666666666,70.0,72.72727272727273,66.66666666666666,69.23076923076923,64.28571428571429,60.0,62.5,64.70588235294117,66.66666666666666,68.42105263157895,65.0,61.904761904761905,59.09090909090909,60.86956521739131,58.333333333333336,56.00000000000001,53.84615384615385,51.85185185185185,50.0,51.724137931034484,50.0,51.61290322580645,53.125,54.54545454545454,55.88235294117647,54.285714285714285,55.55555555555556,56.75675675675676,57.89473684210527,56.41025641025641,55.00000000000001,53.65853658536586,54.761904761904766,55.81395348837209,56.81818181818182,57.77777777777777,58.69565217391305,59.57446808510638,60.416666666666664,61.224489795918366,62.0,60.78431372549019,61.53846153846154,60.37735849056604,61.111111111111114,61.81818181818181,60.71428571428571,61.40350877192983,62.06896551724138,61.016949152542374,60.0,59.01639344262295,59.67741935483871,60.317460317460316,60.9375,61.53846153846154,60.60606060606061,61.19402985074627,61.76470588235294,60.86956521739131,60.0,60.56338028169014,61.111111111111114,61.64383561643836,62.16216216216216,62.66666666666667,63.1578947368421,63.63636363636363,64.1025641025641,63.29113924050633,63.74999999999999,64.19753086419753,64.63414634146342,65.06024096385542,65.47619047619048,65.88235294117646,65.11627906976744,65.51724137931035,65.9090909090909,66.29213483146067,66.66666666666666,67.03296703296702,66.30434782608695,66.66666666666666,65.95744680851064,65.26315789473685,65.625,65.97938144329896,65.3061224489796,65.65656565656566
gamma,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
net_reward,3.5,11.5,21.0,15.5,33.5,31.5,24.0,24.5,15.0,23.5,27.5,30.0,29.5,21.5,46.5,31.0,28.5,50.5,32.5,44.5,42.5,46.5,29.0,36.0,28.0,40.0,41.0,50.0,36.0,29.0,29.0,42.5,29.0,36.5,34.5,18.0,23.0,26.0,37.0,36.5,31.0,13.5,19.5,28.0,14.5,24.0,17.0,31.0,23.0,20.5,53.5,9.5,53.5,27.0,27.5,36.5,15.0,29.5,34.0,52.5,45.5,34.0,28.5,29.0,33.0,37.0,29.0,28.0,26.0,56.0,31.5,14.5,51.0,39.5,14.0,18.5,21.0,19.5,16.0,20.0,28.0,23.5,36.5,21.5,38.5,36.5,38.5,16.5,34.5,16.0,34.0,28.0,19.0,39.0,22.0,25.5,22.0,22.0,27.5
penalty_count,18,0,5,1,9,7,7,2,2,1,1,7,5,10,26,8,6,6,3,10,17,13,4,20,11,10,12,17,4,15,6,9,7,6,12,0,2,8,9,6,9,1,1,9,2,9,2,2,1,5,18,0,20,8,1,12,2,4,13,17,22,4,9,8,11,19,2,4,11,24,5,2,13,5,0,2,2,3,11,8,12,1,6,5,3,9,3,2,6,6,4,14,7,12,14,1,3,10,10
success,False,True,True,True,False,False,True,True,True,True,True,False,True,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,True,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,True,True,False,True
time_taken,37,3,14,4,37,27,24,11,7,9,10,27,24,31,67,22,17,30,15,38,46,44,15,47,28,36,38,52,19,36,20,29,19,22,34,4,10,19,31,27,29,3,6,22,5,19,6,13,8,16,51,1,53,23,10,36,5,16,36,48,52,18,21,23,26,44,12,14,29,65,17,6,40,24,2,7,8,9,27,19,26,9,22,12,18,33,19,6,22,13,17,34,15,36,30,9,11,24,24
